Ind,Sample,First_Assign,First_Per,Second_Assign,Second_Per,Third_Assign,Third_Per,Fourth_Assign,Fourth_Per,Fifth_Assign,Fifth_Per
QAc-G-0032,/DBG,Magazine,95.961,Kessler,4.017,Sugar_Loaf,0.012,Pryor,0.01,Porter,0
QAc-G-0033,/DBG,Magazine,99.996,Kessler,0.004,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0034,/DBG,Magazine,99.979,Pryor,0.02,Porter,0,Kessler,0,Sugar_Loaf,0
QAc-G-0035,/DBG,Pryor,79.503,Kessler,10.997,Magazine,9.5,Sugar_Loaf,0,Porter,0
QAc-G-0036,/DBG,Kessler,99.934,Porter,0.053,Magazine,0.008,Pryor,0.004,Sugar_Loaf,0.001
QAc-G-0037,/DBG,Kessler,99.999,Magazine,0.001,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0038,/DBG,Kessler,100,Magazine,0,Porter,0,Sugar_Loaf,0,Pryor,0
QAc-G-0039,/DBG,Kessler,89.797,Porter,10.202,Pryor,0,Magazine,0,Sugar_Loaf,0
QAc-G-0040,/DBG,Magazine,99.886,Kessler,0.106,Pryor,0.007,Porter,0.001,Sugar_Loaf,0
QAc-G-0041,/DBG,Kessler,99.915,Magazine,0.075,Pryor,0.01,Porter,0,Sugar_Loaf,0
QAc-G-0042,/DBG,Kessler,99.21,Magazine,0.788,Pryor,0.002,Porter,0,Sugar_Loaf,0
QAc-G-0043,/DBG,Kessler,99.946,Magazine,0.04,Pryor,0.014,Sugar_Loaf,0,Porter,0
QAc-G-0044,/DBG,Magazine,99.737,Kessler,0.262,Pryor,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0045,/DBG,Magazine,99.552,Kessler,0.446,Pryor,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0046,/DBG,Kessler,99.957,Porter,0.043,Magazine,0,Sugar_Loaf,0,Pryor,0
QAc-G-0047,/DBG,Kessler,91.309,Pryor,8.678,Porter,0.01,Magazine,0.003,Sugar_Loaf,0
QAc-G-0048,/DBG,Kessler,99.942,Magazine,0.058,Porter,0.001,Pryor,0,Sugar_Loaf,0
QAc-G-0049,/DBG,Kessler,98.246,Magazine,1.751,Pryor,0.003,Sugar_Loaf,0,Porter,0
QAc-G-0050,/DBG,Magazine,99.973,Kessler,0.027,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0051,/DBG,Kessler,99.997,Pryor,0.003,Magazine,0,Porter,0,Sugar_Loaf,0
QAc-G-0052,/DBG,Magazine,98.708,Kessler,1.292,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0053,/DBG,Kessler,99.973,Magazine,0.027,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0054,/DBG,Kessler,100,Magazine,0,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0055,/DBG,Magazine,77.055,Kessler,22.909,Sugar_Loaf,0.036,Pryor,0,Porter,0
QAc-G-0056,/DBG,Kessler,97.262,Magazine,2.738,Pryor,0,Sugar_Loaf,0,Porter,0
QAc-G-0057,/DBG,Kessler,99.312,Magazine,0.671,Pryor,0.017,Sugar_Loaf,0,Porter,0
QAc-G-0058,/DBG,Magazine,65.103,Pryor,33.051,Kessler,1.829,Porter,0.018,Sugar_Loaf,0
QAc-G-0059,/DBG,Kessler,100,Magazine,0,Sugar_Loaf,0,Pryor,0,Porter,0
QAc-G-0060,/DBG,Magazine,99.92,Porter,0.049,Kessler,0.031,Sugar_Loaf,0,Pryor,0
QAc-G-0276,/FGT,Kessler,100,Pryor,0,Magazine,0,Sugar_Loaf,0,Porter,0
QAc-G-0279,/FGT,Magazine,77.879,Kessler,21.986,Pryor,0.136,Sugar_Loaf,0,Porter,0
QAc-G-0280,/FGT,Magazine,99.883,Kessler,0.065,Pryor,0.046,Porter,0.006,Sugar_Loaf,0
QAc-G-0281,/FGT,Kessler,93.414,Pryor,6.586,Magazine,0,Sugar_Loaf,0,Porter,0
QAc-G-0018,/HBG,Magazine,99.299,Kessler,0.656,Pryor,0.045,Porter,0,Sugar_Loaf,0
QAc-G-0019,/HBG,Magazine,98.378,Pryor,1.111,Porter,0.325,Kessler,0.187,Sugar_Loaf,0
QAc-G-0020,/HBG,Kessler,85.011,Magazine,10.718,Porter,4.27,Pryor,0.001,Sugar_Loaf,0
QAc-G-0021,/HBG,Kessler,99.375,Porter,0.552,Magazine,0.073,Pryor,0,Sugar_Loaf,0
QAc-G-0022,/HBG,Kessler,97.569,Porter,2.167,Sugar_Loaf,0.227,Magazine,0.036,Pryor,0.001
QAc-G-0023,/HBG,Kessler,94.414,Pryor,5.585,Magazine,0.001,Porter,0,Sugar_Loaf,0
QAc-G-0024,/HBG,Magazine,99.942,Kessler,0.045,Pryor,0.013,Porter,0,Sugar_Loaf,0
QAc-G-0016,/HBG,Magazine,84.923,Kessler,15.072,Sugar_Loaf,0.003,Pryor,0.001,Porter,0
QAc-G-0017,/HBG,Kessler,99.996,Magazine,0.003,Sugar_Loaf,0.001,Pryor,0,Porter,0
QAc-G-0250,/Meis,Kessler,99.996,Porter,0.003,Magazine,0.001,Pryor,0,Sugar_Loaf,0
QAc-G-0003,/MBG,Kessler,100,Magazine,0,Pryor,0,Porter,0,Sugar_Loaf,0
QAc-G-0004,/MBG,Magazine,89.231,Kessler,10.769,Pryor,0,Porter,0,Sugar_Loaf,0
