Pop,Ind,Sample_Pop,Assign_Pop_1,Percent_1,Assign_Pop_2,Percent_2,Assign_Pop_3,Percent_3,Assign_Pop_4,Percent_4,Assign_Pop_5,Percent_5
/TMA,QAc-G-0015,,Magazine,60.827,Sugarloaf,38.887,Porter,0.281,Pryor,0.005,Kessler,0
/TMA,QAc-G-0106,,Magazine,92.514,Kessler,7.417,Porter,0.069,Pryor,0,Sugarloaf,0
/TMA,QAc-G-0109,Magazine,Magazine,100,Sugarloaf,0,Pryor,0,Porter,0,Kessler,0
/TMA,QAc-G-0111,Magazine,Magazine,100,Kessler,0,Pryor,0,Porter,0,Sugarloaf,0
/TMA,QAc-G-0114,Magazine,Magazine,100,Kessler,0,Pryor,0,Porter,0,Sugarloaf,0
/TMA,QAc-G-0115,Magazine,Magazine,99.996,Pryor,0.004,Kessler,0,Porter,0,Sugarloaf,0
/TMA,QAc-G-0117,Magazine,Porter,54.989,Magazine,45.011,Sugarloaf,0,Kessler,0,Pryor,0
/TMA,QAc-G-0120,Magazine,Magazine,89.584,Porter,9.395,Sugarloaf,0.855,Kessler,0.167,Pryor,0
/TMA,QAc-G-0121,Magazine,Magazine,99.999,Porter,0.001,Pryor,0,Kessler,0,Sugarloaf,0
/TMA,QAc-G-0122,Magazine,Porter,96.27,Magazine,3.722,Kessler,0.008,Pryor,0,Sugarloaf,0
/TMA,QAc-G-0125,Magazine,Magazine,100,Pryor,0,Porter,0,Kessler,0,Sugarloaf,0
/TMA,QAc-G-0126,Magazine,Magazine,99.964,Porter,0.036,Kessler,0,Pryor,0,Sugarloaf,0
/TMA,QAc-G-0127,Magazine,Porter,74.458,Magazine,25.542,Kessler,0,Pryor,0,Sugarloaf,0
/TMA,QAc-G-0137,Magazine,Magazine,100,Porter,0,Pryor,0,Kessler,0,Sugarloaf,0
/TMA,QAc-G-0141,Magazine,Kessler,92.662,Sugarloaf,6.828,Porter,0.51,Pryor,0,Magazine,0
/TMA,QAc-G-0143,Magazine,Kessler,77.559,Porter,18.382,Sugarloaf,3.184,Magazine,0.839,Pryor,0.037
/TMA,QAc-G-0145,Magazine,Kessler,99.405,Porter,0.319,Magazine,0.273,Sugarloaf,0.003,Pryor,0
/TMA,QAc-G-0147,Magazine,Sugarloaf,99.842,Magazine,0.154,Porter,0.003,Kessler,0.001,Pryor,0
/TMA,QAc-G-0148,Magazine,Magazine,83.632,Kessler,15.145,Porter,1.222,Sugarloaf,0,Pryor,0
/TMA,QAc-G-0150,Magazine,Kessler,54.261,Magazine,44.308,Porter,1.391,Pryor,0.02,Sugarloaf,0.02
/TMA,QAc-G-0162,Magazine,Kessler,99.986,Porter,0.007,Magazine,0.007,Sugarloaf,0,Pryor,0
/TMA,QAc-G-0165,Magazine,Magazine,92.588,Kessler,6.097,Sugarloaf,1.061,Porter,0.254,Pryor,0
/TMA,QAc-G-0167,Magazine,Kessler,99.909,Porter,0.062,Magazine,0.028,Sugarloaf,0,Pryor,0
/TMA,QAc-G-0174,Magazine,Magazine,96.585,Porter,3.414,Kessler,0.002,Sugarloaf,0,Pryor,0
/TMA,QAc-G-0188,Magazine,Porter,38.854,Sugarloaf,34.405,Kessler,26.709,Magazine,0.033,Pryor,0
/TMA,QAc-G-0207,Pryor,Magazine,95.749,Porter,4.171,Pryor,0.047,Kessler,0.033,Sugarloaf,0
/TMA,QAc-G-0213,Pryor,Kessler,98.038,Pryor,1.903,Magazine,0.058,Porter,0,Sugarloaf,0
/TMA,QAc-G-0216,Pryor,Magazine,99.996,Kessler,0.003,Porter,0.001,Pryor,0,Sugarloaf,0
/TMA,QAc-G-0217,Pryor,Sugarloaf,56.66,Pryor,43.299,Magazine,0.028,Porter,0.013,Kessler,0
/TMA,QAc-G-0227,Porter,Kessler,54.22,Magazine,44.83,Porter,0.894,Sugarloaf,0.055,Pryor,0
/TMA,QAc-G-0228,Porter,Kessler,99.969,Sugarloaf,0.027,Porter,0.005,Magazine,0,Pryor,0
/TMA,QAc-G-0229,Porter,Porter,99.792,Kessler,0.148,Sugarloaf,0.046,Magazine,0.015,Pryor,0
/TMA,QAc-G-0230,Porter,Porter,99.713,Kessler,0.275,Sugarloaf,0.007,Magazine,0.006,Pryor,0
/TMA,QAc-G-0232,Porter,Porter,95.288,Kessler,4.709,Sugarloaf,0.003,Magazine,0,Pryor,0
/TMA,QAc-G-0233,Porter,Kessler,97.674,Pryor,2.323,Porter,0.002,Magazine,0.001,Sugarloaf,0
/TMA,QAc-G-0234,Porter,Porter,86.518,Kessler,13.478,Sugarloaf,0.003,Magazine,0,Pryor,0
/TMA,QAc-G-0236,Porter,Kessler,99.922,Magazine,0.066,Porter,0.011,Sugarloaf,0.001,Pryor,0
/TMA,QAc-G-0237,Porter,Porter,53.847,Sugarloaf,45.464,Kessler,0.683,Magazine,0.006,Pryor,0
/TMA,QAc-G-0241,Porter,Porter,78.958,Magazine,16.507,Sugarloaf,4.511,Kessler,0.023,Pryor,0.001
/TMA,QAc-G-0243,Porter,Porter,92.631,Kessler,7.363,Sugarloaf,0.003,Magazine,0.003,Pryor,0
/TMA,QAc-G-0248,,Kessler,99.9,Porter,0.076,Magazine,0.015,Sugarloaf,0.01,Pryor,0
/Trompenburg,QAc-G-0249,,Porter,76.348,Kessler,12.662,Sugarloaf,10.151,Magazine,0.828,Pryor,0.012
/USNA,QAc-G-0025,Magazine,Magazine,99.241,Sugarloaf,0.432,Pryor,0.185,Porter,0.111,Kessler,0.032
/USNA,QAc-G-0028,Magazine,Porter,53.184,Kessler,45.749,Sugarloaf,1.054,Pryor,0.013,Magazine,0
/UWBG,QAc-G-0275,,Kessler,90.24,Pryor,5.821,Magazine,3.849,Porter,0.09,Sugarloaf,0
/Plze,QAc-G-0263,,Magazine,82.504,Sugarloaf,14.871,Kessler,1.889,Porter,0.737,Pryor,0
