Ind,Garden,First_Assign,Sample_Pop,First_Per,,2,%,,3,%,,4,%,,'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0300,/CBG,Porter,NONE,78.088,,Magazine,21.821,,Pryor,0.091,,Sugarloaf,0,,41.008,41.561,43.942,47.13,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0301,/CBG,Magazine,NONE,97.282,,Pryor,2.688,,Porter,0.029,,Sugarloaf,0.001,,44.98,41.456,43.015,46.686,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0302,/CBG,Magazine,NONE,97.558,,Pryor,2.427,,Porter,0.014,,Sugarloaf,0,,44.683,40.855,42.46,47.324,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0303,/CBG,Pryor,NONE,77.361,,Porter,21.955,,Sugarloaf,0.534,,Magazine,0.15,,48.26,50.426,47.713,49.874,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0304,/CBG,Magazine,NONE,99.953,,Porter,0.027,,Pryor,0.02,,Sugarloaf,0,,42.618,39.055,42.756,46.173,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0305,/CBG,Magazine,NONE,100,,Pryor,0,,Porter,0,,Sugarloaf,0,,42.945,35.746,41.975,43.272,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0306,/CBG,Pryor,NONE,78.519,,Magazine,21.227,,Porter,0.254,,Sugarloaf,0,,42.189,40.267,39.699,45.709,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0307,/CBG,Pryor,NONE,67.305,,Magazine,29.584,,Sugarloaf,3.108,,Porter,0.004,,47.892,44.009,43.652,44.988,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0308,/CBG,Magazine,NONE,97.116,,Sugarloaf,1.664,,Pryor,0.681,,Porter,0.539,,47.009,44.754,46.908,46.52,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0309,/CBG,Pryor,NONE,99.996,,Magazine,0.002,,Porter,0.001,,Sugarloaf,0,,47.779,47.576,42.932,51.905,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0310,/CBG,Pryor,NONE,99.988,,Porter,0.01,,Magazine,0.001,,Sugarloaf,0,,45.695,46.745,41.709,47.087,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0311,/CBG,Pryor,NONE,83.274,,Sugarloaf,16.047,,Magazine,0.678,,Porter,0,,52.665,49.348,47.259,47.974,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0312,/CBG,Magazine,NONE,99.933,,Sugarloaf,0.055,,Pryor,0.012,,Porter,0,,48.844,41.606,45.52,44.868,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0313,/CBG,Porter,NONE,90.653,,Magazine,9.198,,Pryor,0.117,,Sugarloaf,0.032,,41.379,42.373,44.267,44.831,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0314,/CBG,Magazine,NONE,98.742,,Porter,1.24,,Sugarloaf,0.019,,Pryor,0,,42.446,40.544,50.43,44.27,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0315,/CBG,Sugarloaf,NONE,93.716,,Porter,6.072,,Pryor,0.211,,Magazine,0,,49.544,54.745,51.003,48.356,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
