Ind,Garden,First_Assign,%,,2,%,,3,%,,4,%,,5,%,,'-log(L),'-log(L),'-log(L),'-log(L),'-log(L),,,
QAc-G-0293,CBG,MagazineMountain_W,94.732,,Kessler_Mountain_W,5.268,,PryorMountain_W,0,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,45.394,37.226,44.11,47.138,38.481,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0294,CBG,PorterMountain_W,99.843,,Kessler_Mountain_W,0.116,,MagazineMountain_W,0.041,,Sugar_Loaf_Mountains_W,0,,PryorMountain_W,0,,33.286,36.674,42.372,40.936,36.221,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0295,CBG,Kessler_Mountain_W,91.725,,MagazineMountain_W,8.275,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,PorterMountain_W,0,,47.564,38.421,45.646,45.722,37.377,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0296,CBG,Kessler_Mountain_W,99.999,,PorterMountain_W,0,,MagazineMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,41.065,41.447,42.144,42.246,35.598,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0297,CBG,Kessler_Mountain_W,100,,MagazineMountain_W,0,,PorterMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,44.853,41.877,45.32,47.944,33.7,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0298,CBG,Kessler_Mountain_W,99.68,,PorterMountain_W,0.238,,MagazineMountain_W,0.082,,Sugar_Loaf_Mountains_W,0,,PryorMountain_W,0,,36.365,36.826,40.401,39.729,33.743,14, 0C11 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 1G13 - 1  
QAc-G-0299,CBG,Kessler_Mountain_W,91.828,,MagazineMountain_W,8.163,,PorterMountain_W,0.009,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,37.534,34.554,40.503,44.422,33.503,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0300,CBG,PorterMountain_W,65.237,,Kessler_Mountain_W,33.568,,Sugar_Loaf_Mountains_W,1.194,,PryorMountain_W,0.001,,MagazineMountain_W,0,,36.935,42.342,41.914,38.672,37.223,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0301,CBG,Kessler_Mountain_W,68.487,,MagazineMountain_W,26.47,,PorterMountain_W,5.025,,PryorMountain_W,0.018,,Sugar_Loaf_Mountains_W,0,,40.177,39.455,42.626,44.231,39.043,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0302,CBG,MagazineMountain_W,97.472,,Kessler_Mountain_W,2.526,,PorterMountain_W,0.001,,Sugar_Loaf_Mountains_W,0,,PryorMountain_W,0,,42.462,37.579,47.606,45.09,39.166,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0303,CBG,Kessler_Mountain_W,100,,MagazineMountain_W,0,,PorterMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,48.017,44.302,50.606,52.977,37.633,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0304,CBG,MagazineMountain_W,76.731,,Kessler_Mountain_W,21.68,,PorterMountain_W,1.589,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,38.081,36.397,42.626,45.348,36.946,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0305,CBG,MagazineMountain_W,100,,Kessler_Mountain_W,0,,PorterMountain_W,0,,PryorMountain_W,0,,Sugar_Loaf_Mountains_W,0,,39.321,31.644,42.73,44.111,37.059,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0306,CBG,Kessler_Mountain_W,94.372,,MagazineMountain_W,4.628,,PorterMountain_W,0.613,,PryorMountain_W,0.387,,Sugar_Loaf_Mountains_W,0,,37.084,36.206,37.283,46.947,34.896,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
QAc-G-0307,CBG,Kessler_Mountain_W,99.978,,MagazineMountain_W,0.022,,PryorMountain_W,0,,PorterMountain_W,0,,Sugar_Loaf_Mountains_W,0,,44.905,38.344,42.372,46.452,34.696,15, 0C11 - 1  1G13 - 1  G07 - 1  1F02 - 1  FIR031 - 1  GOT009 - 1  POR016 - 1  FIR013 - 1  FIR043 - 1  GOTO40 - 1  PIE039 - 1  FIR53 - 1  FIR048 - 1  PIE125 - 1  QpZAG9 - 1  , 
