Pop,Ind,Sample_Pop,Assign_Pop_1,Correct_Assignment,Percent_1,Assign_Pop_2,Percent_2,Assign_Pop_3,Percent_3,Assign_Pop_4,Percent_4,Assign_Pop_5,Percent_5
/TMA,QAc-G-0122,Magazine,Porter,N,96.27,Magazine,3.722,Kessler,0.008,Pryor,0,Sugarloaf,0
/TMA,QAc-G-0127,Magazine,Porter,N,74.458,Magazine,25.542,Kessler,0,Pryor,0,Sugarloaf,0
/TMA,QAc-G-0188,Magazine,Porter,N,38.854,Sugarloaf,34.405,Kessler,26.709,Magazine,0.033,Pryor,0
/TMA,QAc-G-0229,Porter,Porter,Y,99.792,Kessler,0.148,Sugarloaf,0.046,Magazine,0.015,Pryor,0
/TMA,QAc-G-0230,Porter,Porter,Y,99.713,Kessler,0.275,Sugarloaf,0.007,Magazine,0.006,Pryor,0
/TMA,QAc-G-0232,Porter,Porter,Y,95.288,Kessler,4.709,Sugarloaf,0.003,Magazine,0,Pryor,0
/TMA,QAc-G-0234,Porter,Porter,Y,86.518,Kessler,13.478,Sugarloaf,0.003,Magazine,0,Pryor,0
/TMA,QAc-G-0237,Porter,Porter,Y,53.847,Sugarloaf,45.464,Kessler,0.683,Magazine,0.006,Pryor,0
/TMA,QAc-G-0241,Porter,Porter,Y,78.958,Magazine,16.507,Sugarloaf,4.511,Kessler,0.023,Pryor,0.001
/TMA,QAc-G-0243,Porter,Porter,Y,92.631,Kessler,7.363,Sugarloaf,0.003,Magazine,0.003,Pryor,0
/Trompenburg,QAc-G-0249,,Porter,NA,76.348,Kessler,12.662,Sugarloaf,10.151,Magazine,0.828,Pryor,0.012
/USNA,QAc-G-0028,Magazine,Porter,N,53.184,Kessler,45.749,Sugarloaf,1.054,Pryor,0.013,Magazine,0
/FGT,QAc-G-0281,Pryor,Pryor,Y,64.559,Porter,35.424,Kessler,0.012,Magazine,0.005,Sugarloaf,0
/HBG,QAc-G-0023,Pryor,Pryor,Y,99.98,Sugarloaf,0.012,Magazine,0.005,Porter,0.002,Kessler,0.001
/AP,QAc-G-0029,Pryor,Sugarloaf,N,89.161,Porter,9.924,Magazine,0.891,Kessler,0.023,Pryor,0
/Arnold,QAc-G-0075,Porter,Sugarloaf,N,94.026,Magazine,4.821,Kessler,0.595,Porter,0.558,Pryor,0
/CBG,QAc-G-0314,,Sugarloaf,NA,79.003,Porter,17.01,Kessler,3.942,Pryor,0.033,Magazine,0.013
/DBG,QAc-G-0033,Porter,Sugarloaf,N,98.651,Porter,1.32,Kessler,0.029,Magazine,0.001,Pryor,0
/DBG,QAc-G-0034,Porter,Sugarloaf,N,73.311,Magazine,24.44,Porter,2.156,Kessler,0.093,Pryor,0
/MA,QAc-G-0265,Pryor,Sugarloaf,N,50.21,Magazine,47.928,Porter,1.575,Kessler,0.287,Pryor,0.001
/Peckerwood,QAc-G-0251,Porter,Sugarloaf,N,97.864,Kessler,1.726,Magazine,0.409,Porter,0,Pryor,0
/TMA,QAc-G-0147,Magazine,Sugarloaf,N,99.842,Magazine,0.154,Porter,0.003,Kessler,0.001,Pryor,0
/TMA,QAc-G-0217,Pryor,Sugarloaf,N,56.66,Pryor,43.299,Magazine,0.028,Porter,0.013,Kessler,0
