Ind,Pop,Sample_pop,First_Assign_Pop,First_Per,Second_Assign_Pop,Second_per,Third_Assign_Pop,Third_Per,Fourth_Assign_Pop,Fourth_Per,Fifth_Assign_Pop,Fifth_Pop
QAc-G-0129,/TMA,Magazine,Kessler,98.985,Pryor,0.863,Porter,0.137,Magazine,0.015,Sugarloaf,0
QAc-G-0130,/TMA,Magazine,Kessler,44.276,Pryor,35.174,Magazine,19.864,Porter,0.685,Sugarloaf,0
QAc-G-0131,/TMA,Magazine,Magazine,82.641,Kessler,11.457,Pryor,5.558,Porter,0.345,Sugarloaf,0
QAc-G-0132,/TMA,Magazine,Pryor,95.561,Porter,3.104,Magazine,1.218,Kessler,0.117,Sugarloaf,0
QAc-G-0133,/TMA,Magazine,Porter,66.435,Pryor,32.792,Kessler,0.411,Magazine,0.362,Sugarloaf,0
QAc-G-0134,/TMA,Magazine,Kessler,99.958,Pryor,0.042,Porter,0,Magazine,0,Sugarloaf,0
QAc-G-0135,/TMA,Magazine,Magazine,99.508,Porter,0.407,Kessler,0.082,Sugarloaf,0.002,Pryor,0
QAc-G-0136,/TMA,Magazine,Kessler,99.995,Magazine,0.005,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0137,/TMA,Magazine,Magazine,99.986,Kessler,0.014,Pryor,0,Porter,0,Sugarloaf,0
QAc-G-0138,/TMA,Magazine,Kessler,68.393,Magazine,31.606,Sugarloaf,0.001,Pryor,0,Porter,0
QAc-G-0139,/TMA,Magazine,Magazine,94.439,Porter,5.175,Kessler,0.385,Pryor,0,Sugarloaf,0
QAc-G-0140,/TMA,Magazine,Magazine,93.807,Porter,6.185,Kessler,0.007,Pryor,0,Sugarloaf,0
QAc-G-0141,/TMA,Magazine,Kessler,83.105,Pryor,11.867,Magazine,4.195,Porter,0.833,Sugarloaf,0
QAc-G-0142,/TMA,Magazine,Kessler,99.393,Magazine,0.607,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0143,/TMA,Magazine,Porter,56.492,Kessler,43.508,Sugarloaf,0,Magazine,0,Pryor,0
QAc-G-0144,/TMA,Magazine,Kessler,99.991,Magazine,0.009,Sugarloaf,0,Porter,0,Pryor,0
QAc-G-0145,/TMA,Magazine,Kessler,96.652,Magazine,2.687,Porter,0.661,Pryor,0,Sugarloaf,0
QAc-G-0146,/TMA,Magazine,Kessler,91.569,Porter,5.985,Pryor,1.568,Magazine,0.876,Sugarloaf,0.002
QAc-G-0147,/TMA,Magazine,Magazine,99.998,Pryor,0.001,Porter,0,Kessler,0,Sugarloaf,0
QAc-G-0148,/TMA,Magazine,Magazine,98.95,Kessler,1.05,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0149,/TMA,Magazine,Pryor,59.473,Porter,23.534,Magazine,16.993,Kessler,0.001,Sugarloaf,0
QAc-G-0150,/TMA,Magazine,Kessler,99.975,Pryor,0.021,Porter,0.003,Magazine,0,Sugarloaf,0
QAc-G-0151,/TMA,Magazine,Kessler,100,Pryor,0,Magazine,0,Porter,0,Sugarloaf,0
QAc-G-0152,/TMA,Magazine,Kessler,100,Pryor,0,Magazine,0,Sugarloaf,0,Porter,0
QAc-G-0153,/TMA,Magazine,Kessler,100,Porter,0,Magazine,0,Pryor,0,Sugarloaf,0
QAc-G-0154,/TMA,Magazine,Porter,89.109,Magazine,9.25,Pryor,1.577,Kessler,0.064,Sugarloaf,0
QAc-G-0155,/TMA,Magazine,Kessler,99.399,Pryor,0.555,Porter,0.044,Magazine,0.002,Sugarloaf,0
QAc-G-0158,/TMA,Magazine,Magazine,70.777,Pryor,27.18,Kessler,1.903,Porter,0.14,Sugarloaf,0
QAc-G-0159,/TMA,Magazine,Kessler,85.32,Porter,14.666,Magazine,0.014,Pryor,0,Sugarloaf,0
QAc-G-0160,/TMA,Magazine,Kessler,99.945,Porter,0.053,Pryor,0.001,Magazine,0.001,Sugarloaf,0
QAc-G-0161,/TMA,Magazine,Magazine,94.292,Kessler,5.47,Porter,0.238,Pryor,0,Sugarloaf,0
QAc-G-0162,/TMA,Magazine,Kessler,99.998,Magazine,0.002,Porter,0,Sugarloaf,0,Pryor,0
QAc-G-0163,/TMA,Magazine,Kessler,97.68,Porter,2.307,Magazine,0.013,Sugarloaf,0,Pryor,0
QAc-G-0164,/TMA,Magazine,Kessler,83.42,Porter,13.807,Magazine,2.692,Pryor,0.081,Sugarloaf,0
QAc-G-0165,/TMA,Magazine,Kessler,97.957,Magazine,1.573,Porter,0.47,Pryor,0,Sugarloaf,0
QAc-G-0166,/TMA,Magazine,Magazine,99.985,Kessler,0.014,Porter,0,Pryor,0,Sugarloaf,0
QAc-G-0167,/TMA,Magazine,Magazine,99.521,Kessler,0.258,Porter,0.212,Pryor,0.009,Sugarloaf,0
QAc-G-0168,/TMA,Magazine,Magazine,95.084,Kessler,4.912,Porter,0.003,Pryor,0,Sugarloaf,0
QAc-G-0169,/TMA,Magazine,Kessler,87.526,Porter,11.55,Pryor,0.877,Magazine,0.047,Sugarloaf,0
QAc-G-0170,/TMA,Magazine,Kessler,77.832,Porter,12.47,Magazine,9.694,Pryor,0.003,Sugarloaf,0
